COD_REG;COD_CMPRO;COD_PRO;PRO_COM2001;CMPRO_COM;PRO_COM;COD_ZONA_C;NOME;ALTITUDINE;FLAG
1;201;1;1272;201272;1272;4;Basilica di Soperga;640/670;1
1;201;1;1018;201018;1018;4;Basilica di Soperga;640/670;2
1;201;1;1249;201249;1249;4;Basilica di Soperga;640/670;2
1;4;4;4014;4014;4014;12;Bastia Mondovì;300/305;1
1;4;4;4130;4130;4130;12;Bastia Mondovì;300/305;2
1;4;4;4105;4105;4105;14;Cantina di Rivalta;310/331;1
1;4;4;4238;4238;4238;14;Cantina di Rivalta;310/331;2
1;4;4;4053;4053;4053;13;Costa Chiop;1940/2326;1
1;4;4;4060;4060;4060;13;Costa Chiop;1940/2326;2
1;103;103;103026;103026;103026;10;Monte Larone I;1150/2289;2
1;103;103;103046;103046;103046;10;Monte Larone I;1150/2289;1
1;103;103;103025;103025;103025;7;Monte Larone II;1000/1300;1
1;103;103;103026;103026;103026;7;Monte Larone II;1000/1300;2
1;6;6;6069;6069;6069;18;Monte Poggio;390/841;1
1;210;6;10035;210035;10035;18;Monte Poggio;390/841;2
1;103;103;103066;103066;103066;6;Monte Spalavera;1250/1584;2
1;103;103;103005;103005;103005;6;Monte Spalavera;1250/1584;1
1;103;103;103011;103011;103011;11;Nancino;1200/2081;2
1;103;103;103068;103068;103068;11;Nancino;1200/2081;1
1;201;1;1007;201007;1007;2;Nero;980/1243;2
1;201;1;1098;201098;1098;2;Nero;980/1243;1
1;103;103;103029;103029;103029;9;Pizzo Nona;1300/2271;1
1;103;103;103068;103068;103068;9;Pizzo Nona;1300/2271;2
1;96;96;96001;96001;96001;5;Regione Folla;400/405;2
1;2;2;2066;2066;2066;5;Regione Folla;400/405;1
1;6;6;6177;6177;6177;28;Rocchetta;80/92;2
1;6;6;6022;6022;6022;17;Stura;500/700;1
1;210;6;10033;210033;10033;17;Stura;500/700;2
1;201;1;1017;201017;1017;1;Torre Cives;450/581;1
1;201;1;1298;201298;1298;1;Torre Cives;450/581;2
1;201;1;1056;201056;1056;391;Valera;346/350;2
1;201;1;1095;201095;1095;391;Valera;346/350;1
3;14;14;14073;14073;14073;24;Cevedale;3254/3757;1
3;20;20;;20071;20071;396;Chiavica Travata;18/20;2
3;20;20;20003;20003;20003;396;Chiavica Travata;18/20;1
